FR,00000000000000000000000000000000,0000000000,0000,204
MR,00000000000000000000000000000001,0000000000,0000,205
MR,00000000000000000000000000000002,0000000000,0000,206
LR,00000000000000000000000000000003,0000000000,0000,207
FR,00000000000000000000000000000000,0000000000,0003,210
MR,00000000000000000000000000000001,0000000000,0003,211
MR,00000000000000000000000000000002,0000000000,0003,212
LR,00000000000000000000000000000003,0000000000,0003,213
FR,00000000000000000000000000000000,0000000000,0001,216
MR,00000000000000000000000000000001,0000000000,0001,217
MR,00000000000000000000000000000002,0000000000,0001,218
LR,00000000000000000000000000000003,0000000000,0001,219
FR,00000000000000000000000000000000,0000000000,0002,222
MR,00000000000000000000000000000001,0000000000,0002,223
MR,00000000000000000000000000000002,0000000000,0002,224
LR,00000000000000000000000000000003,0000000000,0002,225
FR,00000000000000000000000000000000,0000000000,0005,228
MR,00000000000000000000000000000001,0000000000,0005,229
MR,00000000000000000000000000000002,0000000000,0005,230
LR,00000000000000000000000000000003,0000000000,0005,231
FR,00000000000000000000000000000000,0000000000,0004,234
MR,00000000000000000000000000000001,0000000000,0004,235
MR,00000000000000000000000000000002,0000000000,0004,236
LR,00000000000000000000000000000003,0000000000,0004,237
FR,00000000000000000000000000000000,0000000001,0001,240
MR,00000000000000000000000000000001,0000000001,0001,241
MR,00000000000000000000000000000002,0000000001,0001,242
LR,00000000000000000000000000000003,0000000001,0001,243
FR,00000000000000000000000000000000,0000000001,0000,246
MR,00000000000000000000000000000001,0000000001,0000,247
MR,00000000000000000000000000000002,0000000001,0000,248
LR,00000000000000000000000000000003,0000000001,0000,249
FR,00000000000000000000000000000000,0000000001,0003,252
MR,00000000000000000000000000000001,0000000001,0003,253
MR,00000000000000000000000000000002,0000000001,0003,254
LR,00000000000000000000000000000003,0000000001,0003,255
FR,00000000000000000000000000000000,0000000001,0002,329
MR,00000000000000000000000000000001,0000000001,0002,330
MR,00000000000000000000000000000002,0000000001,0002,331
LR,00000000000000000000000000000003,0000000001,0002,332
FR,00000000000000000000000000000000,0000000001,0005,335
MR,00000000000000000000000000000001,0000000001,0005,336
MR,00000000000000000000000000000002,0000000001,0005,337
LR,00000000000000000000000000000003,0000000001,0005,338
FR,00000000000000000000000000000000,0000000001,0004,341
MR,00000000000000000000000000000001,0000000001,0004,342
MR,00000000000000000000000000000002,0000000001,0004,343
LR,00000000000000000000000000000003,0000000001,0004,344
FR,00000000000000000000000000000000,0000000002,0001,347
MR,00000000000000000000000000000001,0000000002,0001,348
MR,00000000000000000000000000000002,0000000002,0001,349
LR,00000000000000000000000000000003,0000000002,0001,350
